ID,First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
61,Craig,Chick,21,LSM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
62,Michael,Rexrode,22,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
63,Bryan,Costabile,26,M,2,5,3,2,1,4,1,21,0.14285714285714285,8,0.38095238095238093,5,0.2,2,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,0
64,Jake,Richard,27,M,2,0,0,0,0,0,0,3,0,1,0.3333333333333333,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
65,Andrew,Newbold,33,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
66,Mark,Cockerton,41,A,2,5,3,3,0,3,2,8,0.375,8,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
67,John,Crawley,44,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
68,Tucker,Durkin,51,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
69,Peter,Dearth,54,SSDM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
70,Joel,Tinney,55,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
71,Cade,van Raaphorst,77,D,2,0,0,0,0,0,0,3,0,0,0,2,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
72,Danny,Logan,91,SSDM,2,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,3,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
73,Adam,Charalambides,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
74,Zach,Currier,77,M,1,1,1,1,0,1,0,4,0.25,3,0.75,0,0,0,1,2,0,3,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
75,Ben,McIntosh,90,M,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
76,Mike,Chanenchuk,1,M,3,4,3,3,0,3,1,15,0.2,9,0.6,3,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,,0
77,Matt,Abbott,3,SSDM,3,2,1,1,0,1,1,5,0.2,3,0.6,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
78,Bryce,Young,6,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
79,Matt,Rambo,9,A,3,6,3,3,0,3,3,11,0.2727272727272727,5,0.45454545454545453,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
80,Charlie,Hayes,23,SSDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
